,Title,Rating,Employee_Status,Pros,Cons,Date_Posted,Employee_Title,Location,
50,"Best place to work ,good learnings, Good projects",4,"Current Employee, more than 1 year",One learns so many different things across a different projects due to such a good learning while working environment.,"Less Pay scale, low financial growth",27-Apr-21, Embedded Software Engineer in Bangalore,,
51,Good place to work,5,Current Employee,Good management and skilled team overall,Benefits could have been better,03-May-21, Senior Software Engineer in Kraków,,
52,Excellent Work Life Balance & More Focus On People,5,"Current Employee, more than 8 years","Work Life Balance, Culture, Work, Salary/Hike & People Caring. Especially during the Covid-19 situation, Company has provided best safety measures for employees safety & Adding to this ,we got the hike back to back with no delay. No Concept of LOP for the employees during pandemic. Best company for married women employees with respect to office timings.",There are no cons with respect to work @ Aptiv. Only thing is Cafeteria need to be renewed.,11-Mar-21, Advanced Software Engineer in Bangalore,,
53,Nothing,2,Current Employee,share some reasons to work,not good for BE students,23-May-21, Anonymous Employee ,,
54,Overall good,4,"Former Employee, more than 5 years",Company invests in innovation and has good strategy.,Lack of change management in times of internal reorganization.,27-Apr-21, Anonymous Employee ,,
55,Great Opportunity,5,"Former Employee, more than 1 year",Stable company with good benefits,not much room for growth.,29-Apr-21, Systems Engineer in San Francisco, CA,
56,Good company to start,4,Current Employee,"Aptiv offers a lot of training and professional opportunities in all areas; also, it is a company that adapts quickly to changes in the industry; well structured company","As any company in the automotive industry, it's highly dependent on the current status of the market, which influences the production;",06-Apr-21, Mechanical Engineer in Porto, Oporto, Oporto
57,Best place to work and learn,5,"Current Employee, more than 3 years",1. Encouragement to focus on personal goals along with org goals 2. Voice is always heard 3. Shapes you into good team player and scope for good technical interactions among senior engineers.,Mechanical and Electrical team interaction is less which makes system engineers limited to components than entire system.,23-Mar-21, Senior Systems Engineer in Bangalore,,
58,great place to work,5,"Current Employee, more than 1 year",good projects good place to learn good pay work life balance,no cons are there as per me,20-Apr-21, Senior Technical Lead ,,
59,Good Place to work,4,"Current Employee, more than 3 years",Flexible work environment and values for Employee,nothing as such current assignment,20-Apr-21, Senior Software Engineer in Bangalore,,
60,Good Place to work,4,"Current Employee, more than 3 years",Flexible work environment and values for Employee,nothing as such current assignment,20-Apr-21, Senior Software Engineer in Bangalore,,
61,very good but not best,4,"Former Employee, more than 5 years",salary culture scope of worklearnings good scope,hectic work limited career growth nothing else,19-Apr-21, Anonymous Employee in Bangalore,,
62,product engineer,3,"Current Employee, more than 1 year",A good school for new people who are just joining the world's workforce,No recognition of work. Pushing people through stress instead of motivation.,08-May-21, Product Engineer in Tangier,,
63,Great company,5,"Current Employee, less than 1 year","Great people, comfortable environment, fair wages and good benefits.","Better review processes would be beneficial. I like to know how best to improve performance, regular reviews and feedback play a big role in growth.",07-Apr-21, Investor Relations in Boston, MA,
64,Good,4,"Current Employee, more than 1 year","Flexibke work time, remote work",Low sallary on part time,21-Apr-21, Anonymous Employee ,,
65,Tedious work that slowly removes every single drop of enthusiasm,2,"Current Employee, more than 1 year","Good work environment (culture, work-life balance, two-way feedback taken seriously)",Poor management and frustrating tech stack. Both will slowly erode away any enthusiasm and fun you might have with the job.,05-May-21, Anonymous Employee in Wuppertal,,
66,Salary range in Poland,4,"Current Employee, more than 1 year",Aptiv is a good Global company,The management is sometimes Poor when it comes to organizing the teams,14-Apr-21, Systems Engineer in Kraków,,
67,Embedded software engineer,4,"Current Employee, more than 1 year",Environment is very competitive and one gets to learn so many things out of projects assigned,Long working hours during project assignment.,11-Apr-21, Embedded Software Engineer in Bangalore,,
68,A Good Experience for an Intern,4,"Former Employee, more than 1 year","Flexible hours, independence, lets you work with school","Can be isolating at times due to remote teams, traditional",11-Apr-21, Software Developer Intern in Kokomo, IN,
69,Great company culture,4,"Former Employee, more than 10 years",Well structured framework for engineers to work within. Very collaborative culture,Creativity is lacking some tomes,10-Apr-21, Systems Engineer in Kokomo, IN,
70,Greate,5,"Current Employee, more than 10 years","Very good, great, great , good great","None, no , nope ,none ,nope",13-Apr-21, Internship in Bangalore,,
71,BCCT Machine Operater,3,"Current Employee, less than 1 year",Possibility to get promotion at work,"This is gross salary in training, netto is just 280 EUR; problem with Covid, factory did not work few months.",07-May-21, Machine Operator in Novi Sad,,
72,Job titile was good,4,"Former Employee, less than 1 year",The job environment was well able to freely work anywhere,Defined work was never assigned as per offer letter,08-Apr-21, Systems Validation Engineer in Detroit, MI,
73,"Company has potential, too bad it is not people caring",2,Former Employee,Company is money to fund investments Lots of job opportunities and very diverse environment,"work life balance, lack of people respect, middle management has no influence, everything is top down",19-Apr-21, Data Architect in Bordeaux, Aquitaine, Aquitaine
74,Good,3,Former Employee,nice salary and stable job,Too much coroporate stuff at times,12-May-21, Engineer in Kokomo, IN,
75,Great opportunities & great environment,5,"Current Employee, more than 10 years",The chance to increase your potential through development programs Big interest in peoples' engagement Demonstrates empathy for employees at all levels,"Could be improved the design for office areas, in order to look more modern.",26-Mar-21, Human Resources in Ineu, Arad, Arad
76,Moderatly Ok,3,"Current Employee, more than 1 year","Location, healthcare benefits, interesting projects","Carreer path options are poor, lack of agility",10-May-21, Systems Engineer in Kraków,,
77,Good Company to be working for,4,"Former Employee, less than 1 year",Good environment to work in.Good salary.,No cons for this company from what I remember.,07-Apr-21, EDS Engineer in Coventry, England, England
78,Strong Tier 1 in Metro Detroit,5,Current Employee,Team average age is very young.,Some communication is not very efficient.,08-Apr-21, Algorithm Developer ,,
79,A better place to learn,5,"Current Employee, more than 3 years",#NAME?,#NAME?,31-Mar-21, Technical Leader in Bangalore,,
80,growing company driving towards AD,5,"Current Employee, more than 3 years",Limitless learning of new things at work,no cons that I have noticed,05-Apr-21, Systems Engineer in Troy, MI,
81,Good Company,4,Former Employee,"Good salary, very good work culture","Bad canteen, not many onsite opportunities",08-Apr-21, Senior Software Engineer ,,
82,Not suitable for BE,1,Former Employee,Nothing to say about the company,Working time is more and,19-May-21, Graduate Engineer Trainee ,,
83,Good company with lot of new technologies to work on,4,"Current Employee, more than 1 year",Good company with lot of new technologies to work on.,"Lot of work, Global teams",01-Apr-21, Senior Software Developer in Detroit, MI,
84,Good and dynamic company in Automotive,4,"Current Employee, more than 1 year",Great to start and get experience,Unfair payment for those who are not in favor of local HR,31-Mar-21, Engineer ,,
85,Awesome work,4,"Current Employee, more than 1 year",a lot of opportunities to grow,Leadership desperately needs new blood,06-Apr-21, Software Developer in Troy, MI,
86,Excellent FEA team,4,"Former Employee, more than 1 year",Good work culture maintained with CAE TEAM,hour based billing will be quiet intriguing,02-Apr-21, Design Engineer in Chennai,,
87,Neutral!,2,Current Employee,Globally good company Pay master,High level politics More departmental performances rather for an organization,05-May-21, Sales Manager in Chennai,,
88,Great company,4,Former Employee,A lot of challenges and experience,I see no cons for it,03-Apr-21, Software Engineer in Kraków,,
89,Good work culture,4,"Current Employee, more than 3 years",standard salary as per current industry,can not think of any,02-Apr-21, Advanced Technical Leader in Bangalore,,
90,Great company to chase your dreams.,5,"Current Employee, more than 1 year",I have the freedom of choosing the domains and technology within Aptiv.,Poor process and lot of chaos in the projects,09-Mar-21, Expert Systems Engineer in Kraków,,
91,Review of Aptiv,4,Current Employee,Company transforming really fast into cutting edge technology company,"Big corporation rules, slow processes, quite big rotation recently",26-Mar-21, Product Owner in Kraków,,
