,Title,Rating,Employee_Status,Pros,Cons,Date_Posted,Employee_Title,Location,
266,Very good,5,"Former Employee, more than 1 year",It is a very good work place,I don’t have any cons,24-Sep-20, Design/BOM Engineer in Hillsboro, OR,
267,Nice place to work,5,"Former Employee, more than 3 years",They ensure the Job Security and the work environment is also good,Facilities can be improved bit more,12-Sep-20, Senior Software Engineer in Chandler, AZ,
268,Review headline,4,Former Employee,Challenging work & very nice colleagues,Slow management decisions Bad canteen and food,23-Sep-20, Senior Technical Lead in Örebro,,
269,Aptiv,3,Former Employee,Nice people to work with,Long hours not enough breaks,03-Dec-20, Production in New Delhi,,
270,Lost Focus on Manufacturing,4,"Former Employee, more than 10 years",Global Company with an innovative working team,Sr. Management has lost focus on manufacturing and it could have a negative impact in the long term,19-Aug-20, Anonymous Employee ,,
271,work,5,"Former Employee, more than 3 years","It was my first job out of college, and I liked most of the people I worked with. I got to work on some interesting stuff.","There was a big age gap when I got hired, as most of the engineers had been there pre ~2008 crash. There was a period there where the company took on a more projects that its personnel count could support, so there was a good chunk of salaried overtime.",25-Jun-20, Systems Engineer in Troy, MI,
272,Challenging,3,"Current Employee, less than 1 year",Good support team. Good Atmosphere.,Customer expectations have changed and ever changing.,24-Nov-20, DFMEA Engineer ,,
273,Good company,4,Current Employee,Work environment is good and this is excellent opportunity to learn about future mobility.,It is hard to balance between work and life.,01-Sep-20, Senior Engineer ,,
274,A great company - with an emerging culture and values,3,"Current Employee, more than 1 year",This company makes a difference in the world - we save lives through the development of advanced safety technologies.,Lack of resource investment can make it a difficult environment to operate in while conversely providing opportunity to work on exciting projects and initiatives,28-Sep-20, Anonymous Employee in Troy, MI,
275,"Good colleagues, questionable leadership",2,"Former Employee, more than 10 years",#NAME?,- consistently moving projects to lower cost sites - middle and upper management can't be trusted - lack of local perspective as most senior management is foreign - constant job cuts - sub par benefits,20-Sep-20, Anonymous Employee in Kokomo, IN,
276,Be part of the future,5,"Current Employee, more than 10 years",#NAME?,#NAME?,15-May-20, Business Unit Director ,,
277,lack of management,3,"Current Employee, more than 1 year",good benefits and nice work environment,poor project management and team lead. Lack of diversity,12-Nov-20, Software Engineer ,,
278,A company under transformation,4,"Current Employee, less than 1 year","If you like challenges, and change Aptiv is the place for you, the company right now is evolving from being a pure manufacturing company to become an Industrial Tech one, developing technology that can make vehicles safer and more connected. Aptiv genuinely cares for people",There is constant change in the company as part of the transformation.,03-Jun-20, Anonymous Employee in Troy, MI,
279,"Some great people, but an aging location",3,"Former Employee, more than 3 years",Experience colleagues with a wealth of knowledge and experience.,"Overall, the place is ruled by people who haven't changed their ways since Aptiv was part of GM. These upper managers lack innovative leadership. There was no motivation for anyone to go above and beyond. Salaries were not fairly/evenly distributed.",31-Aug-20, Test Engineer in Kokomo, IN,
280,"Poor company culture, poor management, constant organisational changes",1,"Current Employee, more than 1 year",Relaxed work environment. Interesting technologies to work on. Friendly people.,"Quite a lot of hypocrisy and discrimination when it comes to salary and roles (but also getting a job). This is specific to HR, but not only. Very difficult to get a job offer without an internal referral. Micromanagement at all levels. Slow decision making process, decisions often overturned.",25-Oct-20, Anonymous Employee in Aliso Viejo, CA,
281,"Good Company, Good Learning Opportunity",4,"Current Employee, more than 1 year",1. Work culture is quite open and almost like a startup 2. Great learning opportunity if you are willing to learn 3. Freedom to develop new things and experiment,Salaries should be higher. Need to standardize certain work protocols,30-Jul-20, ADAS Algorithm Developer in Columbus, OH,
282,designer,3,"Current Employee, more than 1 year","work, sallary, experiance, company life, education","education, project, sector, sallary, managers",21-Nov-20, Product Engineer in Gothenburg,,
283,Good company,5,Current Employee,very friendly co-workers and challenging task to keep you motivated,none from my experience working at Aptiv,28-Aug-20, Anonymous Employee ,,
284,Good opportunities to learn,5,"Former Employee, more than 5 years","Self learning, and opportunity to move within the company",Salaries are not competitive in comparison.,25-Aug-20, CAE Engineer in Bursa,,
285,"Best Company in automotive, offers good package to employees",5,"Current Employee, more than 3 years","Nice place for work, supportive staff.",Nothing to mention here right now,25-Aug-20, Senior Software Engineer in Bangalore,,
286,environment is all about politics,2,"Current Employee, more than 1 year","good place for people just want to get paid, doesn't matter if you can do the work or not as long as you got hired here","the direction of how to do self-driving car is wrong here, already falls behind the industry, but the marketing is really good at bluffing, and makes its stock price looks pretty good. But this is not good for your career path, and you will find your skills are mostly out of date in the related industry.",03-Aug-20, Algorithm Engineer ,,
287,Systems Engineer at Aptiv,3,Current Employee,Best place for work and innovation,"Only the location , it is hard to perform vehicle level testing without proving grounds",04-Nov-20, Systems Engineer in Troy, MI,
288,Work Life Balance,4,Current Employee,good Work Life Balance and for career growth,nothing to be updated now,31-Aug-20, Anonymous Employee ,,
289,Good learning experience,4,Current Employee,"Good learning experience, got opportunity to explore different areas",Nothing that has till date,26-Aug-20, Software Engineer in Detroit, MI,
290,Good Company for Freshers with attractive incentives,4,"Current Employee, more than 3 years",1) Attractive Incentives 2) Good Heath Benefit Insurance 3) Good 401K Match 4) Friendly Work Culture,1) Frequent Management Changes 2) Unstable Hierarchy stack 3) Unpredictable Management decisions 4) Middle Layer Management Issues,09-Jun-20, Systems Engineer in Troy, MI,
291,Company review,3,Current Employee,Cool product line to work with,Large workforce - get lost in the shuffle,10-Nov-20, Sales Analyst in Detroit, MI,
292,ok,4,Former Employee,"good working environment, food, poeple","management, salary, projection, life-work, shifts",31-Aug-20, Anonymous Employee ,,
293,Good company to work at,4,"Former Employee, more than 3 years","Lots of benefits (medical,dental,etc) Access to many new technologies.",Management could be a bit toxic sometimes.,17-Aug-20, Anonymous Employee ,,
294,Experience ok,4,Former Employee,transport was provided by company,no growth opportunity in the company location,24-Aug-20, Manufacturing Engineer in Timişoara,,
295,Nice,4,Former Employee,Nice industry and working on popular area,Nothing special to complain about,25-Aug-20, Internship in Boston, MA,
296,Software Engineering at Aptiv MTC,5,"Current Employee, more than 5 years","Flexible hours, great team and staff, interesting work.",Not the best paying company in the field.,12-Aug-20, Embedded Software Engineer in Ciudad Juarez,,
297,Good learning but hard work,4,"Former Employee, more than 5 years",Good process and skilled employees,Process implementation gaps and work pressure,31-Jul-20, Assistant Manager Supply Chain in Pune,,
298,Good place to work,4,"Current Employee, more than 1 year","Very friendly people all around, suppose if you get stuck people will help you for sure","Accept the things and go, that's it if you love your work.",13-Jul-20, Anonymous Employee ,,
299,ADAS developer,3,"Current Employee, less than 1 year","Pay is ok, but not great. Can help you build experiences in ADAS field.",People are moving fast. Higher management is not transparent.,11-Oct-20, ADAS Algorithm Developer in Troy, MI,
300,Good management,4,"Current Employee, less than 1 year","Good management, cooperative teams and transparency",Not a high salary in Poland,03-Aug-20, Embedded Software Engineer in Kraków,,
301,good,4,"Former Employee, more than 3 years",good learning there at aptiv,no visibility to the upper managment,05-Aug-20, Anonymous Employee ,,
302,Software Developer,4,"Former Employee, more than 1 year","Great group of people, company sponsored events",Time off difficult to navigate with work load but encourage to take,23-Jul-20, Software Developer in Allen Park, MI,
303,Bittersweet experience,4,"Current Employee, more than 5 years",Compensation 401k matching upto 7.5% Work-Life Balance Abreast with latest technology trends Co-operative and collaborating culture,Work location Lengthy project execution Hiring low quality employees during hiring sprees,16-May-20, Senior Hardware Engineer in Kokomo, IN,
304,Review,3,"Former Employee, less than 1 year",Good opportunity to work on various projects.,"Poorest infrastructure. Lack of basic things like chairs and space, no of washrooms. No audits for cleaning up the workplaces. Workplaces becoming clumsy and very congested. Not at all suitable to work for 9 hours. Unhygienic cafeteria. Cheap quality food vendors. Management not able to resolve budget issues. Resulting in overloading of the work. Most of the Management is not capable of taking care of employees and resolve the issues. Rarely connect with employees and resolve their work and other issues.",11-Mar-20, Verification Engineer in Bangalore,,
305,Meh,3,Current Employee,"Good pay, well above the standard",Hellish work environment and very stressful,19-Oct-20, EDI Specialist in Niš,,
306,Great Benefits,5,Former Employee,Aptiv has great benefits and very understanding of work-life balance,None that I can think of!,23-Jul-20, Talent Acquisition ,,
307,Tough Environment,2,Former Employee,"Pay is very competitive, Interesting Work","Benefits, Workplace Culture, Regular Restructuring",05-Oct-20, Corporate Manager ,,
308,Great learning experience,5,"Current Employee, more than 1 year",Get to learn a lot. You feel contributing a lot. Worklife balance,Not enough fun activities conducted at office,15-Jul-20, Software Engineer in Troy, MI,
309,Good 401k benefits,4,"Current Employee, more than 1 year",Good 401k benefits and good pay. Provides relocation assistance.,Sometimes you have to work late due to software releases and testing activities,12-Jul-20, Software Engineer in Troy, MI,
310,Program Manager,4,"Current Employee, more than 5 years",Good strategic direction of the company,Lot of internal changes in the company,24-Jul-20, Program Manager in Detroit, MI,
311,Great company,4,Former Employee,Very chill and laid back work environment.,The salary was a bit lower than expected.,15-Jul-20, Hardware Engineer ,,
312,Great job,3,Former Employee,Good benefits and great pay,Long hours and rotating schedules,08-Oct-20, Senior Manufacturing Supervisor in Brookhaven, MS,
313,Active Safety / User Experience,4,"Former Employee, more than 10 years",Leading tech in growing areas of the automotive industry with lots of potential. Lots of talented people and opportunity to work with people from around the globe with varying ideas & perspectives.,"Management silos created road blocks and duplicate efforts that didn't align with other group efforts & management not being transparent with employees about future business path. They don't value experienced people as they should but rather employ lower cost entry level people. I predict closing the North American Infotainment & Driver Interface business will be a mistake in the long run, when historically it was always profitable for the company. But Autonomous & related Software/Services are now their only focus.",28-Jan-20, Anonymous Employee in Kokomo, IN,
314,Algorithm Developer,4,"Current Employee, more than 1 year","Great manager, work life balance","frequent management changes, poor tech lead",12-Jul-20, Algorithm Developer in Troy, MI,
315,Good Income. No Pension.,3,Former Employee,Global company with large portfolio of electronic products,No pension. Pushes senior employees out to hire younger ones for less money.,09-Sep-20, Senior Business Manager in Kokomo, IN,
316,Program Manager,4,Former Employee,Great people to work with,Long hours / hard to balance work and life,04-Jul-20, Program Manager in Troy, MI,
317,Good and stable company.,4,"Current Employee, more than 1 year",The employee work-life balance is important.,As most of the companies great part of your development depends on your manager.,14-Jun-20, Software Engineer in Troy, MI,
318,"Mobility, Autonomous Vehicles, Driver Monitoring Systems",4,"Current Employee, more than 10 years","1. Technically ahead of the curve 2. Engineer friendly work culture to die for! 3. Individuals can work thru the org to develop or grow themselves, there is place for all 4.Open culture respects diversity 5.Open leadership communication, Flexible",1. Branding attention required in India,14-May-20, Chief Engineer ,,
319,Challenging,3,"Current Employee, more than 1 year",responsible colleagues and great team work,Can be overload at times,25-Sep-20, Manufacturing Engineering in Singapore,,
320,Challenging,3,"Current Employee, more than 1 year",responsible colleagues and great team work,Can be overload at times,25-Sep-20, Manufacturing Engineering in Singapore,,
321,Overall great work culture but management needs improvement,3,Former Employee,Great work environment. Friendly teams and has good work life balance. Company benefits are good,Management makes decision at last moment and ignore employee input. Career growth and promotion to higher position is dismal. They tend to underpay. Make sure to negotiate salary before accepting offer if considering employment,12-Jun-20, Software Engineer in Allen Park, MI,
322,Work-life balance and salary package are the problems,2,Current Employee,Good technology and learning opportunities,Work life balance Salary increments are poor No fun activities,26-Aug-20, Technical Lead in Bangalore,,
323,Very supportive employer,5,"Current Employee, less than 1 year",A lot of projects and easy team change,Nothing much to describe. Would be better if there was more work from home option,30-May-20, Test Engineer ,,
324,Decline in manufacturing world at Aptiv,2,"Current Employee, more than 10 years",It is hard to come up with any....,"Corporate leaders keep squeezing the budget and will not hire people in our manufacturing plant. We are losing people and management will not replace them. We used to have three electrical controls engineers and are now down to one. If he is off and we have problems, who do we call? Same is true for the process engineers working on the manufacturing floor. Management does not want to replace the guys that left and expect the other process engineers to deal with it. Not sure how one guy can do the work of two people.",08-Jan-20, Process Engineer in Warren, OH,
325,Terrible Place to Work,1,"Current Employee, more than 1 year","Competitive salary, great teammates, international environment","Low transportation allowance, poor organization at all levels, frequent changes of plans",10-Oct-20, Specialist in Niš,,
326,Decent place,4,Current Employee,fun exciting palce to work,"some people arent great, some managers",09-Jun-20, Project Engineer ,,
327,Good company,3,"Current Employee, more than 1 year",Work will be good.. Good exposure,No work life balance.. No extra curricular activities,04-Sep-20, Technical Lead in Bangalore,,
328,Needs to create more growth for their employees,3,Former Employee,"Great work environmen, people is very nice to work with",There is no professional growth,12-Aug-20, Materials Management in Reynosa, Tamaulipas, Tamaulipas
329,decent place,4,Former Employee,"always busy, latest technology, nice work environment",bottom line means the most,08-Jun-20, Technician ,,
330,"Not So good, No Soo bad",2,"Current Employee, more than 5 years",#NAME?,#NAME?,17-Aug-20, Senior Software Engineer in Bangalore,,
331,"Nice place to learn, cutting edge technologies",4,Current Employee,1.Always be the first one to adapt new technologies 2 Diversity of projects 3.Friendly work environment 4.Pay is good compared to its competitors 5.Annual hike percentage is good,"1.Tight deadlines 2.Work pressure 3.Too much of work load. 4.No food,quite useful tip i feel 5.No onsite ,zero i would say",07-Apr-20, Senior Software Engineer in Bangalore,,
332,Worst company in the world,1,"Former Employee, more than 10 years",Nothing for me to add,"Lack of organization, massive owertime,",05-Oct-20, Manager in Leskovac, Central Serbia, Central Serbia
333,Great place for work,5,"Current Employee, more than 10 years",Amazing projects for future cars,Too many roles and not clear responsibilities in the project organization. Project scaling not optimal.,13-May-20, Manager in Kraków,,
334,intern experience,3,"Former Employee, less than 1 year",#NAME?,#NAME?,18-Aug-20, Intern in Lisbon,,
335,Highly engaged and transparent leadership,5,"Current Employee, more than 10 years",Clear vision and encourages employees to think like owners,"Convenience of IT, difficult to turn off",12-May-20, Manufacturing in Singapore,,
336,Poor culture,3,"Current Employee, more than 3 years",Large company with lots of resources,Lots of leadership changes and poor culture thats stuck in the past,07-Aug-20, Process Engineer in Warren, OH,
337,Product: Bussed Electrical Centers,5,"Former Employee, more than 5 years","Great place for learning, good benefits, excellent facilities",Not big opportunities to grow internally,11-May-20, Advanced Product Engineer in Juárez, Chihuahua, Chihuahua
338,Great place to work,4,"Former Employee, more than 8 years",#NAME?,Standard processes don't match well with current fast-pace projects,27-Apr-20, Senior Mechanical Engineer in Kokomo, IN,
339,Worth Exploring,4,"Current Employee, more than 3 years",Strong vision and focus on employee safety,Lacking communication about role expectations,17-May-20, Operations Manager in Boston, MA,
340,Worth Exploring,4,"Current Employee, more than 3 years",Strong vision and focus on employee safety,Lacking communication about role expectations,17-May-20, Operations Manager in Boston, MA,
341,Work Life Balance,4,"Current Employee, more than 5 years","Good place for Learning, good knowledge growth , good labs","no good facilities , like cafeteria , and campus",16-Apr-20, Software Engineer Advanced in Bangalore,,
342,Amazing project,5,Current Employee,"Great people, great env, open minded","Long hours, sometimes stressful, working hard",28-Apr-20, Anonymous Employee ,,
343,Aptiv Morocco not recommended,2,"Current Employee, more than 1 year",Good professional first learning experience.,Toxic envirement no encouragement stressful envirement low evolution opportunities weak HR management Basic salery and no extra ever,10-May-20, Responsible in Aït Aomar, Meknès,
344,Just okay for learning,2,"Former Employee, more than 1 year",1. Learning curve 2. Flexible working hours 3. Good colleagues,1. Pathetic infrastructure 2. Canteen is a disaster; food sucks to the core. 3. No bonus 4. Onboarding and exit process is more challenging than the projects executed. HR department is as though non existent in the organization. Too much paperwork.,18-Apr-20, Electrical Engineer in Bangalore,,
345,Legacy company,1,Current Employee,No any issue in aptiv,Good carrier growth for long buisness,18-Aug-20, Technical Support Engineer ,,
346,Good experience,2,"Former Employee, more than 3 years",Good experience for entry level position,Leadership doesn’t listen to employees only their cliques,19-Jun-20, Program Coordinator in Troy, MI,
347,International work environmet,4,Current Employee,Very international environment in its facilities,No bonus provided to its emplyees,19-Mar-20, Software Test Engineer in Kraków,,
348,Material planner,1,"Current Employee, more than 1 year",No proper lunch and its common,No personal and work life balance,08-Aug-20, Material Planner in Pune,,
349,Good company to work,4,"Current Employee, more than 5 years","Good learning, flexible working hours, freedom for doing right things",Lack of vision locally in TCI,23-Feb-20, Software Engineer Advanced ,,
350,Kai works with Engineers at different location.,4,"Former Employee, less than 1 year","Workplace harmony, in that co-worker does their level best to help one another",Server for project management occasionally shuts down,08-Feb-20, Software Engineer in West Lafayette, IN,
351,very inefficient work culture,3,"Former Employee, more than 3 years","competitive compensation package, good/inexpensive food in cafeteria. Lots of time to pursue your own learning/interests within your department.",The company lost a lot of really critical talent and leadership in the Delphi/Aptiv transition which resulted in a lot of re-work/repeating mistakes that had been discovered years ago. There is a lot of re-inventing the wheel with tools and processes and a self handicapping silo work culture which results in a lot of wasted time and effort and damages employee moral.,15-Sep-19, Systems Engineer in Troy, MI,
352,Toxic work environment,1,"Former Employee, more than 1 year",Salary is competitive Good technology Benefits are good Industry on a positive trend,"Highly toxic work environment. Workplace bullying tolerated. Starts from the CFO and rolls down. HR doesn’t care. They are scared to do what is right. Everyone bad mouths other groups and other employees as a habit. Profanity, aggressive behavior, and backstabbing culture are the norm.",26-Apr-20, Corporate in Troy, MI,
353,Nice Place to Work - May be poorly managed,4,"Former Employee, more than 8 years","Nice atmosphere, generous salaries, nice facilities and benefits","Money problems, layoffs, moving jobs to Mexico",21-Jan-20, Configuration Analyst in Auburn Hills, MI,
354,Work here at your own risk,1,"Former Employee, more than 1 year",Nothing much except for the fact that there are some good projects but one has to be lucky to work on those projects. And yes expect a good learning curve because most of these projects are not very well structured and are rather mis-managed.,Bad work life balance for engineers. Lateral hires are over-promised and it leads to a lot of issues. Mid-level managers (Lateral hires in particular) are considered very much redundant and their job security is under lot of risk. Financially company is not doing very well. Immature management. Aptiv India is globally not very well recognized within Aptiv.,28-Oct-19, Anonymous Employee in Noida,,
355,"Do your research, mobility vs manufacturing.",1,"Current Employee, less than 1 year","Great sales pitch, and relocation.","Lies, confusion and tons of miserable people locked in their relocation. No integrity, loyalty or supporting environment. Toxic culture.",25-Feb-20, Anonymous Employee in Troy, MI,
356,Great learning opportunity.,4,Former Employee,"During my time there, the company transitioned to Dublin, Ireland",Minimal management direction and no career path,30-Jan-20, Security Analyst in Troy, MI,
357,Exciting place to work!,5,"Current Employee, more than 10 years","Great people, greaqt vision, exciting technology",Never enough time to get everything done,21-Jan-20, Manager in Stamford, CT,
358,Great,5,Current Employee,Friendly environment and nice place to work,I personally did not found any Cons,25-Jan-20, Anonymous Employee ,,
359,amazing,5,"Current Employee, less than 1 year",flexible time and good pay and amazing supervisor,onboarding experience and job location,03-Feb-20, Financial Analyst in Austin, TX,
360,amazing,5,"Current Employee, less than 1 year",flexible time and good pay and amazing supervisor,onboarding experience and job location,03-Feb-20, Financial Analyst in Troy, MI,
361,Software group review,3,"Current Employee, more than 1 year",Opportunity to work on new technologies,Growth in the company would be very difficult,15-Apr-20, Software Architect ,,
362,Aptiv Auto-Driving Team Review,5,"Former Employee, less than 1 year","Friendly and free environment, good work-life balance",No cons until I left,15-Jan-20, Algorithm Engineer ,,
363,Senior Technical leader,4,Current Employee,ownership work life balance visibility Learning Job safety,Salary is no more competitive. Rewards,08-Jan-20, Anonymous Employee ,,
364,Excellent Culture,5,"Current Employee, more than 1 year",Excellent culture and attention paid to employee needs.,"No cons to speak of so far, great company in a burgeoning industry.",09-Jan-20, Vehicle Operator in Las Vegas, NV,
365,Overall Nice Place to Work At,4,"Current Employee, more than 3 years",Great Teams. Great working environment.,Cafeteria food sucks. Too less company holidays,13-Jan-20, Simulation Engineer in Troy, MI,
366,BEST PLACE TO WORK IN VEGAS!!,5,"Current Employee, less than 1 year",#NAME?,"-There's a handful of people that complain a lot. They spread unfounded rumors, none of which have ever come true. They complain, but yet they remain working here so what does that tell you. This job is too good to leave. I guess every company is always going to have a few bad apples.",22-Jul-19, Autonomous Vehicle Operator in Las Vegas, NV,
367,Aptiv review,3,"Current Employee, more than 3 years","Young and evergrowing team; interesting projects; alright in regards to comfort, salary and benefits; few very skillful specialists",Lots of unexperienced people; few opportunites to learn and develop; typical corporation relations,29-Mar-20, SiL/HiL Engineer in Kraków,,
368,Best place to work in Automotive domain,4,"Current Employee, more than 3 years",Pay is Good Work life balance Sufficient leaves Medical insurence,No much onsite opportunity Sometimes projects are less Less R&D project for India sites Less projects from indian OEMs,11-Dec-19, Senior Software Engineer in Bangalore,,
369,CONSTANT RESTRUCTURING COMPANY,4,"Former Employee, more than 10 years",A big company with great culture,A lot of restructuring of the company therefore constant threat of layoffs,30-Dec-19, Industrial Engineer in Juárez, Chihuahua, Chihuahua
370,Great company with some downfalls,4,"Current Employee, more than 1 year",Great pay. Schedule for a VO is 4 - 10 hour shifts during the week. Benefits package is on the lower end for a 'start-up' with a lot of money.,Not much job growth or movement once you're in your hired role,08-Oct-19, Vehicle Operator in Pittsburgh, PA,
371,"Interessante Aufgaben, schlechtes Management",1,"Current Employee, more than 3 years",Interesting tasks and field.,"Bad management, decisions are very sudden and not properly thought through. The company is just trying to take as much projects as they can while not having the capacity or competency to execute them, ending up in bad work-life balance for employees and chaotic operation.",18-Mar-20, Product Owner in Wuppertal,,
372,"Start Up Company, Growing Pains, Diversity, High Tech, Multi City/ Country",5,"Current Employee, more than 1 year","One of Companies with Top Paying driving position in Vegas. Provides snacks and drinks. Lunch once a week. Employee Center with big screen tv with game consoles, Ping Pong and Foosball tables Monthly news updates. Management is always open to new ideas.",Bad Attitudes from some Vehicle Operators. Vehicle Operators that were let go have bad reviews due to their misguided opinions on how to run a company.,22-Jul-19, Vehicle Operator in Las Vegas, NV,
373,Good company to start with,4,"Current Employee, more than 1 year","Work life balance, Good exposure, management is good",Salary is not so good,28-Nov-19, Architect ,,
374,autonomous driving,4,"Current Employee, more than 1 year","Good working enviroment, good project at company.","architecture disorder, change a lot which wasting time",25-Nov-19, Algorithm Engineer ,,
375,Great Place to work,5,"Current Employee, more than 1 year",High tech. Collaborative environment. Great benefits.,No cons to bring up at this point.,21-Nov-19, Applications in Allen Park, MI,
376,GOOD PLACE,4,"Current Employee, more than 1 year",Good Working Environment Decent Pay Less Pressure,"Job Security, No Future Plans for the Design Engineer, Nothing to study new",18-Nov-19, Senior Design Engineer in Chennai,,
377,Very comfortable work environment,5,"Former Employee, more than 1 year",Great work environment. Top of the line equipment. Keeps employees in the loop of what's going on with the company. Great pay,Kind of lacking on follow through from upper management sometimes.,13-Oct-19, Engineering ,,
378,Good challenging work,4,Current Employee,Good work and work culture Dynamic and agile,I don't think there is any,20-Nov-19, Anonymous Employee ,,
379,"Innovative company, interesting work and good work-life balance",5,"Current Employee, less than 1 year",#NAME?,None at the moment.,12-Nov-19, Advanced Safety and User Experience in Troy, MI,
380,"Innovative company, interesting work and good work-life balance",5,"Current Employee, less than 1 year",#NAME?,None at the moment.,12-Nov-19, Advanced Safety and User Experience in Troy, MI,
381,Miserable Place to Work,1,"Former Employee, more than 1 year",Competitive Pay and benefits. That's it.,"Poor management, high stress, excessive hours.",22-Mar-20, Engineer in Troy, MI,
382,Technical Lead,4,Current Employee,Very nice company to work,Salary little less as compared to market.,21-Nov-19, Anonymous Employee ,,
383,Review,4,Current Employee,Good work profiles and career growth,Not sure as of now,24-Nov-19, Anonymous Employee ,,
384,Pretty Good,4,"Current Employee, more than 1 year",School comes first and they know that to be true,Communication is slow with other branches and you are often sitting on your hands doing nothing (also kind of a pro though),11-Oct-19, Software Verification Engineer ,,
385,Good company to work for,5,"Current Employee, less than 1 year",Good product company to work on new technology. Working both in infotainment and ADAS domains. No variable pay Good work life balance at Aptiv.,Facilities needs to be improved,22-Sep-19, Software Project Manager in Bangalore,,
386,Aptiv Design Release Engineer,3,"Current Employee, more than 1 year","Healthcare, 401k plan, decent pay",Very dependent on engineers from OEMs.,23-Feb-20, Electrical Engineer ,,
387,Great environment and people,4,"Current Employee, less than 1 year","Competitive pay, great people, the benefits are really good, and many opportunities to move into areas of interest.",Holidays could be better and slow on boarding into the job.,03-Oct-19, Software Engineer ADAS in Troy, MI,
388,Great benefits. Good co-workers,4,"Current Employee, less than 1 year",Great 401k Match and HSA contributions from Aptiv. Aptiv sponsored Education Assistance. Affordable insurance plans. Good employee discount portfolio Subsidized food at the cafeteria. Some of the brightest minds in the industry are currently working here. Great future outlook and opportunity to create products that will help people in real world.,"Insurance plan is high deductible HSA. While Aptiv contributes to the HSA account, the out of pocket maximum is quite high. No flat co-pays at ERs and Urgent Cares. As a relatively new company with people from all backgrounds, the processes have something to be desired.",29-Apr-19, Algorithm Engineer in Troy, MI,
389,Indirect Procurement,4,"Current Employee, more than 5 years",Fast learning and vast opportunities for career advancement,Continues high management strategy readjustments,05-Nov-19, Indirect Procurement ,,
390,HR,3,Current Employee,"Good policies, work life balance is good.",India level management is not that much good.,24-Jan-20, Anonymous Employee ,,
391,TERRIBLE LEADERSHIP,1,"Former Employee, more than 10 years",Very nice people to work with,"Leadership is terrible. They discuss employees with other employees, attack you when they don't understand and always play the blame game. Some of the management screams and yells at their employees to the point that their employees are in tears. This is The atmosphere in the company is so difficult and people always feel like they are walking on eggs around leadership in HR not knowing what to expect from one day to another. I worked for the company for a very long time and loyalty doesn't mean a thing to them.",22-Aug-19, Workday Analyst in Troy, MI,
392,Good Environment,4,Former Employee,Good Salary and work culture,Nothing like cons in aptiv,30-Oct-19, Anonymous Employee ,,
393,Dysfunctional at its Best,1,"Current Employee, more than 10 years","Other than a decent compensation , not much pros here.","Highly Political . No Value for good work.. No Over Time.. No more a North American Company , every project is heavily outsourced/offshore based , Management has no vision or clarity , Lack of Transparency and interest towards employees.",20-Nov-19, Engineer in Troy, MI,
394,Evil,1,Current Employee,There are none. This company is evil.,"HR and Legal middle-management are stupid, arrogant and cruel. Avoid working in these areas. Also beware of working for a company with HR staff who are so mean-spirited.",24-Jan-20,  in Boston, MA,
395,Very interesting company to work for,4,"Current Employee, less than 1 year",Freedom and research nature Creates cool autonomous vehicles,The office is located outside of CBD,24-Sep-19, Researcher in Singapore,,
396,Senior software engineer,4,"Current Employee, more than 3 years",Great work ethics and good environment,"Low pay, non flexible if you'd want to explore more in different teams",05-Sep-19, Senior Software Engineer ,,
397,Excellent Company to work for!,5,"Current Employee, more than 1 year",#NAME?,-----i did not find anything as of now!!,18-Sep-19, Senior Software Engineer in Bangalore,,
398,Innovating and growing company in the automotive space,5,"Current Employee, less than 1 year","Great overall benefits and good culture. Good worklife balance. Company is well-positioned to take advantage of the trends in Safety, Green and Mobility",Healthcare benefits are not as great.,25-Jul-19, Director in Boston, MA,
399,Job is unsecure,3,"Current Employee, more than 1 year","New 4 day 10hr work week. Good wages and 401k matching at 7% Full line of snacks and drinks and lunch 1x week 10 days of PTO and 2 days DTO Continued training with online testing and track days - also a con Coworkers are good, even if you have personality conflicts with them","Management for operators is virtually unaware of what is done on a daily basis. They review footage of events on a random basis. They don't tell you that they watched yours and that it was good, you only find out if it was negative and that you will now receive points due to doing something wrong. If you speak out you will be targeted as being anti Aptiv and non positive, even for those people that have a constant postive outlook. The workforce is over extended. They over hired and luckily they aren't having layoffs, but if you are targeted, they will find a reason to let you go. There is no future growth. Sure most of us have been with the company as an operator for a year, but they created Leads nearly a year ago with many of them being related or having formerly worked with upper management. Leads haven't actively done the job of those they lead since new title. Knowing that HR does not represent employees, but the company is one way to hopefully stay clear of HR personnel. Constant online training that doesn't really cover what job entails but makes management feel like they are teaching us better tricks. Track training is backwards. If you do X all day, we should review X at the track, yet track training is nearly unrelated to actual part of job. Overall this is a job and one that you may be able to keep for a year or two but with accidents and the constant driving, there are just too many opportunities to gain points for minor errors, which will lead to termination. Random drug and alcohol tests, in which even using CBD oil could be flagged for a positive and immediate termination without option for second test. Yet there are drivers and non drivers that smoke. Yet you will be asked each quarter if you know anybody that does, and it isn't anonymous, so people are required to lie as we wouldn't want to inform on them.",16-Jul-19, Driver ,,
400,Great Place to Work!,5,"Current Employee, less than 1 year",Solve exciting and tough engineering problems. The innovation is very rapid and everyone is passionate about their work.,Typical pains of companies experiencing fast growth.,12-Jun-19, Vehicle Operator ,,
